Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Connexion,Chrome 69.0.3497.100,,2018-10-20 12:35:37,2018-10-20 12:36:22,"44,809s",PASSED
,,,,,,
Test Cases/Connexion/Chargement_Page_Connexion,Chrome 69.0.3497.100,,2018-10-20 12:35:37,2018-10-20 12:36:01,"23,862s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-20 12:35:38,2018-10-20 12:35:39,"1,501s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-20 12:35:39,2018-10-20 12:35:39,"0,232s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-20 12:35:39,2018-10-20 12:35:50,"10,977s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-20 12:35:50,2018-10-20 12:35:50,"0,031s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-20 12:35:50,2018-10-20 12:35:56,"5,571s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-20 12:35:56,2018-10-20 12:36:01,"5,244s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-20 12:36:01,2018-10-20 12:36:01,"0,044s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-20 12:36:01,2018-10-20 12:36:01,"0,040s",PASSED
,,,,,,
Test Cases/Connexion/Connexion,Chrome 69.0.3497.100,,2018-10-20 12:36:01,2018-10-20 12:36:22,"20,580s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-20 12:36:01,2018-10-20 12:36:20,"18,175s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-20 12:36:20,2018-10-20 12:36:20,"0,124s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-20 12:36:20,2018-10-20 12:36:20,"0,095s",PASSED
click,Chrome 69.0.3497.100,,2018-10-20 12:36:20,2018-10-20 12:36:20,"0,070s",PASSED
delay,Chrome 69.0.3497.100,,2018-10-20 12:36:20,2018-10-20 12:36:22,"2,009s",PASSED
