Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ALCATEL(G-240W-A),Chrome 73.0.3683.86,,2019-03-22 18:33:15,2019-03-22 18:33:42,"26,393s",FAILED
,,,,,,
Test Cases/Recherche/ALCL (G-240W-A)/1-LOGIN,Chrome 73.0.3683.86,,2019-03-22 18:33:16,2019-03-22 18:33:28,"12,281s",FAILED
"callTestCase(findTestCase(""Recherche/AccesRecherche""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-22 18:33:16,2019-03-22 18:33:28,"11,921s",FAILED
,,,,,,
Test Cases/Recherche/ALCL (G-240W-A)/2-SN,Chrome 73.0.3683.86,,2019-03-22 18:33:28,2019-03-22 18:33:30,"2,177s",FAILED
"setText(findTestObject(""Page_Recherche/input_Numro de srie_form-contr""), SN_ALCL)",Chrome 73.0.3683.86,,2019-03-22 18:33:28,2019-03-22 18:33:30,"2,047s",FAILED
,,,,,,
Test Cases/Recherche/ALCL (G-240W-A)/3-MAC,Chrome 73.0.3683.86,,2019-03-22 18:33:30,2019-03-22 18:33:32,"2,152s",FAILED
"setText(findTestObject(""Page_Recherche/input_Adresse MAC_form-control""), MAC_ALCL)",Chrome 73.0.3683.86,,2019-03-22 18:33:30,2019-03-22 18:33:32,"2,032s",FAILED
,,,,,,
Test Cases/Recherche/ALCL (G-240W-A)/4-ND,Chrome 73.0.3683.86,,2019-03-22 18:33:32,2019-03-22 18:33:34,"2,149s",FAILED
"setText(findTestObject(""Page_Recherche/input_Numro de tlphone_form-co""), ND_ALCL)",Chrome 73.0.3683.86,,2019-03-22 18:33:32,2019-03-22 18:33:34,"2,032s",FAILED
,,,,,,
Test Cases/Recherche/ALCL (G-240W-A)/6-CONSTRUCTEUR,Chrome 73.0.3683.86,,2019-03-22 18:33:34,2019-03-22 18:33:41,"6,403s",FAILED
"callTestCase(findTestCase(""Recherche/AccesRecherche""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-22 18:33:34,2019-03-22 18:33:41,"6,292s",FAILED
